# sensors.csv - Ingenic sensor identification database (source of truth)
# name,i2c_addr,mclk_hz,id_regs,id_vals,reg_bytes,val_bytes,soc
#   id_regs/id_vals: colon-separated, same length; widths in bytes (1-4)
#   soc: any | t41-only | not-t41
# ORDER MATTERS: first entry among identical-ID rebadges becomes the
# reported primary name. Keep vendor families grouped.

# disabled in the module source (shared Sony IDs): imx219,0x1a,24000000,0x3008:0x301e,0xA0:0xB2,2,1,any
# disabled in the module source (shared Sony IDs): imx291,0x1a,37125000,0x3008:0x301e,0xA0:0xB2,2,1,any
imx335,0x1a,37125000,0x302e:0x302f,0x08:0x0,2,1,any
imx347,0x37,24000000,0x302e:0x302f,0x98:0x0a,2,1,any
imx355,0x1a,37125000,0x302e:0x302f,0x38:0x0A,2,1,any
imx363,0x1a,24000000,0x0016:0x0017,0x02:0x60,2,1,any
imx378,0x1a,27000000,0x0016:0x0017,0x03:0x78,2,1,any
imx385,0x1a,24000000,0x3388:0x3389,0x77:0x27,2,1,any
imx386,0x1a,24000000,0x0016:0x0017,0x28:0x23,2,1,any
imx415,0x1a,37125000,0x3b00:0x3b06,0x28:0x23,2,1,any
imx482,0x1a,37125000,0x3A42:0x3A43,0x4c:0x01,2,1,any
imx515,0x1a,37125000,0x3B00:0x3B06,0x28:0x23,2,1,any
imx585,0x1a,24000000,0x3b00:0x3b06,0x00:0x07,2,1,any
# disabled: expected all-zero ID values match any idle Sony sensor (unmapped
# registers read 0x00). Needs real ID register dumps from imx662 silicon.
# imx662,0x1a,24000000,0x4d1c:0x4d1d,0x00:0x00,2,1,any
imx664,0x37,24000000,0x4D1D:0x4D1C,0x02:0x98,2,1,any
jxf22,0x40,24000000,0xa:0xb,0x0f:0x22,1,1,any
jxf23,0x40,24000000,0xa:0xb,0x0f:0x23,1,1,any
jxf23s,0x40,24000000,0xa:0xb,0x0f:0x23,1,1,any
jxf28,0x40,24000000,0xa:0xb,0x0f:0x28,1,1,any
jxf28p,0x40,24000000,0x0a:0x0b,0x08:0x50,1,1,any
jxf32,0x40,24000000,0x0a:0x0b,0x0f:0x35,1,1,any
jxf35,0x40,24000000,0x0a:0x0b,0x0f:0x35,1,1,any
jxf352,0x40,24000000,0x0a:0x0b,0x07:0x01,1,1,any
jxf37,0x40,24000000,0xa:0xb,0x0f:0x37,1,1,any
jxf37p,0x46,24000000,0x0a:0x0b,0x08:0x41,1,1,any
jxf37pa,0x40,24000000,0xa:0xb,0x08:0x41,1,1,any
jxf37pas1,0x40,24000000,0x0a:0x0b,0x08:0x41,1,1,any
jxf38p,0x40,24000000,0xa:0xb,0x08:0x44,1,1,any
jxf38ps1,0x40,24000000,0x0a:0x0b,0x08:0x44,1,1,any
jxf51,0x40,24000000,0xa:0xb,0x0f:0x51,1,1,any
jxf53,0x40,24000000,0x0a:0x0b,0x08:0x42,1,1,any
jxf57,0x46,24000000,0x0a:0x0b,0x08:0x75,1,1,any
jxh42,0x30,24000000,0xa:0xb:0x9,0xa0:0x42:0x81,1,1,any
jxh61,0x30,24000000,0xa:0xb:0x9,0xa0:0x42:0x3,1,1,any
jxh61p,0x40,24000000,0x0a:0x0b,0x08:0x49,1,1,any
jxh62,0x30,24000000,0xa:0xb,0xa0:0x62,1,1,any
jxh63,0x40,24000000,0x0a:0x0b,0x0a:0x63,1,1,any
jxh63p,0x40,27000000,0xa:0xb,0x08:0x48,1,1,any
jxh63ps1,0x40,24000000,0x0a:0x0b,0x08:0x48,1,1,any
